@relation imdb-sentiment-2011-weka.filters.unsupervised.instance.Resample-S1-Z50.0-weka.filters.unsupervised.instance.Resample-S1-Z10.0-no-replacement

@attribute Text string
@attribute class-att {pos,neg}

@data
'Transylvania 6-5000 is an insignificant but occasionally funny and charming mid 80s horror parody with some very familiar names in the cast and a handful of genuine opportunities to chuckle in the script. Two bozo journalist of a gossipy tabloid newspaper are sent very much against their will to Transylvania to do a story on the alleged return of mad scientist Frankenstein. There are some adorable little gimmicks and details to discover left and right in the film like a little guillotine for hard-boiled eggs and laboratory test tubes that are being used to put in cream and sugar at the breakfast table. The wholesome of the film however is not as successful as it could and should have been with jokes and parody situations that are way too overlong. The Roger Corman production Transylvania Twist which came out four years after this is a lot funnier and much more recommended. The film is particularly parodying the classic Universal milestones of the early 30s so you better make sure youve seen those if you want to grasp all the tiny gags and references. Theres a pretty original twist indicating that the Frankenstein character only behaves like a mad-raving evil scientist when he enters his laboratory. Its also revealed that hes actually more of a Father Damien sort of messiah whos only concerned with the condition of exiled monsters. Michael Richards the freaky guy who plays Kramer in Seinfeld stars as a psychotic butler who appears and disappears at the most inappropriate moments. Im pretty sure John Turturros character in Mr. Deeds was inspired by Richardss role here.',neg
'The movie starts out fine. Widower out with new girlfriend and the children.<br /><br />The movie is filled with stupid directors choices. Like lets separate. I am coming down to.... do what? Stupid Stupid Stupid.<br /><br />Please do not waste your time hoping that it will get better.............. Not hardly.',neg
'The earlier part of the film was rather enjoyable but towards the end it became trite. Although Turturro is an actor I generally like his Luzhin often resembled a bad Rain Man impression and the portrayal of the genius as a semi-autistic man was annoying. Overall it seems as if this film is trying to hard and ends up looking pompous in spite of mostly fine performances.',neg
'The premise is simple. This movies starts out looking like your average lame chick flick about two attractive young people meeting each other in an airport then things take a 180 degree turn...<br /><br />I for one really dislike the kind of mind numbing love story nonsense that pollutes the average movie theater. And it is my humble opinion that Wes Craven based on his previous meta-horror films (Sceam) does too...<br /><br />Following this logic its not surprising to find that Craven sardonically takes his time to built up a nauseatingly sweet sependipity love-story only to have an AWESOME Cillian Murphy wreck that whole sugar-coated dreamworld... <br /><br />The scope of his character Jackson Ripner (Jack the Ripper get it? lame right?) in this film is impressive he goes from being utterly charming to being a twisted nihilistic sicko which is a plus in my book. As he proceeds to freak out his victim (Jennifer Garner lookalike Rachel McAdams who I found pretty annoying by the way) you cant help but sympathize with the guy...<br /><br />This is Wes Craven embodied in Jackson Ripner through Cillian Murphy bashing all brainless chick flicks...<br /><br />Mr. Craven I salute you.<br /><br />Best quote:<br /><br />Jackson Ripner (after beating the snot out of Rachel McAdams in the airplane toilet): Thanks for the quickie!!!',pos
'Ive seen a lot of stupid plotlines in my time but this one is among the worst. After catching some disease in space an astronaut comes back to Earth and starts melting. He then goes on a rampage killing people (how is beyond me; I just watch them I cant explain them.) This is the kind of movie that shouldnt have been made in the first place.',neg
'One of the many silent comedies Stan Laurel featured in before he teamed with Oliver Hardy Mud and Sand is a ho-hum hokum. The story is badly disjointed - though this could be because of the modern-day edit - and the humor itself is not at all inventive.<br /><br />Potential plotlines are started and ignored; for instance Stans promise to make Fillet de Sole pay for what shes done to him never comes to fruition. Stans character doesnt seem very centered either but this is a common criticism of his work before he developed Stanley of Laurel & Hardy fame so it might be that I was just expecting to see this shortcoming.<br /><br />I strongly believe that all the silent films should be preserved and viewed and Im glad this one is still available. Its just not a great film.',neg
'Without wishing to be a killjoy Brad Sykes is responsible for at least two of the most dull and clichéd films ive ever seen - this being one of them and Camp Blood being another. <br /><br />The acting is terrible the print is shoddy and everything about this film screams seriously you could do better yourself. Maybe this is a challenge to everyone to saturate youtube with our own zombie related crap?<br /><br />I bought this for £1 but remember you cant put a price on 71 minutes of your life. Youd do well to avoid this turkey even at a bargain basement price.',neg
'I am a great fan of Martin Amis on whose book this film is based. Unfortunately the director has been unable to translate the book to the screen. The novel is thoroughly post modern and highly artificial in its wildly overblown characters and the disintegration of traditional plot line and character development. It is an hilarious examination of human greed excess and emptiness by one of the most moral of contemporary British writers. The director of the film has completely missed the point of the novel. In his hands the film screams along at breakneck speed indulging in every known trick shot and odd camera angle possible. It is like Ken Russel on acid and suffers from that older directors self indulgence cranked up to a hundred. Not even the (brief) glimpse of gorgeous actor Christian Solimenos penis was enough to save this wretched film for me. Abysmal!',neg
'The funniest show ever on TV albeit the humor is not for everyone. I realize it would have been hard to keep the show fresh if it had ran longer but its a shame only six episodes were filmed. The gags fly rapidly from the opening credits until the very end when you would see Drebin and his boss Ed Hocken pretending to be in freeze frame as the closing credits rolled during which the criminal (still moving) would see everyone else motionless and try to escape. In another episode the building started collapsing around them as Drebin and Hocken remained in freeze mode.<br /><br />Leslie Nielsen was comedic brilliance as Frank Drebin and the perfect fit for this show  how he managed to keep a straight face through some of this is beyond me. Because the jokes and sight gags came so often and quick you can watch the episodes a 2nd and 3rd time and catch things you missed the first time. If youre like me you can watch them over and over and still find yourself laughing. Even the jokes that made no sense nor seemingly had any reason to them such as the Rex Hamilton as Abraham Lincoln tag-line in the opening announcement somehow worked  perhaps they were thrown in there precisely for that reason.<br /><br />Cleverly spoofing the old Quinn Martin detective/cop shows of the 1970s Police Squad would return from commercial break with the words Act Two appearing on the screen which was immediately followed by Yankees One or some other quip. On the opening credits the episodes title would appear on the screen but the announcer would utter a completely different title. My favorite jokes and lines from this series are way too numerous to list but one of my favorites is when Drebin asks a down-on-his-luck boxer who has previously tanked fights Do you think you can beat the Champ? The boxer responds I can take him blindfolded! To which Drebin responds back But what if hes not blindfolded? A minute later in reference to the boxers small dingy apartment Drebin tells him Im going to help you get out of this sewer. The next thing you see Drebin is popping up through a manhole cover on the street! In another episode Drebin and Hocken are questioning a bombing suspects flimsy alibi. Drebin not believing him says Alright lets say you did go the movies. After a slight pause Drebin Hocken and the suspect all look at the camera and in unison say You did go the movies. A few moments later when Drebin is forced to let the suspected bomber walk free due to lack of evidence he storms away and angrily yells Tell that bomber to take off! Whats seen next is a cop giving the thumbs-up signal to a WWII-style plane on a runway right outside the building! While there were many classic Drebin quotes one particularly memorable one was Sorry to bother you Mrs. Twice. We would have come earlier but your husband wasnt dead then. Another classic was Im a locksmith  and Im a locksmith. When a visibly shaken kidnap victims father asks Drebin What I do I do?  Drebin in classic deadpan fashion responds back Well as I understand it youre in the textile business. As I said the humor is not for everyone  many people simply will not get it. During the shows brief run I remember the reaction being very mixed. Some people thought it was absolutely hysterical and one of the funniest things around while others thought it was the stupid and unfunny. For me Police Squad even 20+ years later is the funniest thing Ive ever seen on TV. For younger viewers who enjoy this type of humor but who have never seen Police Squad because they were too young when the series initially aired I highly recommend. I found the six episodes to be even funnier than the subsequent Naked Gun movies.',pos
'One of the things about the film that warmed my heart strings was that dry fly fishing was a major part of the scene. I have occasionally carried out my times of dry fly fishing having tied my own flies and being accompanied by my brother and my father we spend a day on one river or another seeking to tempt the ever elusive Brown Trout to rise and take the fly that has been offered to them.<br /><br />When we had occasions like this any differences between us disappeared and any of the pressures of the world melted away to be replaced by the glory of being absorbed in the activity and the surroundings of the place we were in.<br /><br />This was one of the amazing things that was portrayed to me in the film as the minister and his two sons Norman and Pauly carried out the ritual. For there is something ritualistic about fly fishing as there is something ritualistic about so many pastimes. You cant just start casting your fishing line and hope for the best. You have to attune yourself to the place you are in you have to scan the surface of the water considering how it is flowing and where the best point might be to place your fly and depending on your skill level you might even get your fly to land there long enough for a fish to take note of it and strike. The Art of Fly-fishing was directed and represented so well that they themselves can be classified as artists.<br /><br />The title for the film could not be more aptly chosen for the river did in fact run through the life of father and two sons. This film however spreads itself broader than the family and community in Montana by the the Blackfoot river where the film is played out. It has the capacity to draw you in to enthrall you to capture you as the history of the family community and period is unfolded. The Story told is not just a family history but a history of Life. What may be classified as a River of Life',pos
'This is an excellent film!Tom Hanks and Paul Newman performed great!I was really surprised when Newman was beating on his son!That was a great scene and the shooting scenes were staged good.I was very surprised about the end.Rent this film today as it is one of Tom Hanks best!',pos
'Man was I disappointed.<br /><br />1) Adam Arkin is more whiny than Ross Geller from Friends <br /><br />2) A great cast is wasted (Kenneth Mars Alan Arkin Ed McMahon Pat Morita Louis Nye) with this amateurish script.<br /><br />3) The movie suffers from horrible pacing. It jumps around through in a jumbled confusing manner.<br /><br />4) The story doesnt even make sense. Why does he want to break the football streak? What about the stupid violin music? None of it is explained.<br /><br />5) Its not even funny. Its like a bunch of accountants trying to do improv saying Lookit me! Lookit me Im being funny! This was a bad attempt at making another Love At First Bite.<br /><br />I like Larry Cohen movies but man he failed here. I couldnt wait for the credits to roll. Horribly disappointed.',neg
'A multi-millionaire marries a female doctor. He hasnt worked in a day and she is devoted to her profession. He sees her off each day. Something has got to give.<br /><br />Our hero Henry Fonda finally decides to do something with his life. He becomes a salesman in a department store but is soon fired as poorer people need the job. In the meantime Dr. Helen Hunt (Barbara Stanwyck) has given up her practice? Whats there to do?<br /><br />Kirk (Fonda) buys a bankrupt hospital and the two shall now be happy aiding others while they eke out an existence.<br /><br />Whats with the writing here? When annoyed with her husband Dr. Hunt says Youve been acting like gestapo. This is supposed to be a comedy. Hogwash. <br /><br />A very boring tedious film. Very little going on here.',neg
'This was one of the best shows ever made for TV. Full of mystery and intrigue and twists and turns. Compulsive viewing. I was lucky I saw this in the UK. They might have got the episode order wrong I cant remember but it at least was on at a regular time every week. My girlfriend and I got hooked from the trailer in and neither of us is a big fan of American series normally.<br /><br />After the pilot we knew this was something special. We missed a couple of episodes and it made you sad and mad for a week missing those ones lol.<br /><br />Great casting superb acting. Gary Cole was absolutely brilliant better even than his role as Custer. Lucas Black turned in an amazing performance for a kid and Paige Turco was at her best too since Party of Five. And Nick Searcy of course as the Sheriffs long suffering sidekick.<br /><br />Yes there were some confusing and perplexing bits which I presume would have been explained later and no doubt would have been in a later series. That made the ending weak and you could tell theyd killed it. Made us go WHAT? Why did they do that with one of the best shows ever? Shoot the exec.',pos
'Being an American service member please believe me when I say that this movie in no way accurately portrays the emotional state of our Soldiers/Sailors/Airmen/Marines returning from deployments.<br /><br />That being said....<br /><br />This movie is one large steaming pile of cliché. The acting as awful (with the exception of the little girl) the characters backgrounds are weak and laughable and plot is ludicrous.<br /><br />This movie is so bad I made an account with IMDb just to warn anyone with half a brain away from it.<br /><br />Canadian writer/director Francesco Lucente should be really really really ashamed of this movie. If he disagrees with US foreign policy he should write a letter to the US government not punish the entire English speaking world with a monumentally crap film.',neg
'This horrendously bad piece of trash manages to be racist sexist and homophobic all at once while pretending to be terribly chic and sophisticated. Atrocious performances a cliche ridden screenplay and boring direction make this movie one to steer clear of. Two scenes were especially offensive - the one in which Schaech scrubs his tongue after being kissed by another man (could it really have been that gross) and the scene where Eastwood is kissed by Schaechs best friend who is pretending to be Russian. After he leaves the room she exclaims f**king foreigners! So much for her being a cultured artist who dreams of living in Paris!?!<br /><br />Jonathon Schaech can be a likeable actor on screen and is astonishingly good-looking. Its a shame he didnt learn more from working with cutting edge gay director Gregg Araki on an earlier film and try to salvage this film from descending into a string of gay stereotypes and a mire of homophobia.',neg
'This is one of those movies that you just dont want to end. The characters are rich like a well woven tapestry. Colorful costumes music and characters draw you in and tell a tale of the people that lived in a boarding house over the decades around the time of the civil rights movement and the Vietnam War. A young man is taken in by a dynamic big-hearted woman that runs the house and these are stories based on his experiences.<br /><br />I couldnt believe this was a made for television film. It was so well executed. S. Epatha Merkerson is wonderful as Nanny and she brings so much life to this role. You want to be right there amongst her boarders.<br /><br />I enjoyed this film so much I bought the DVD.',pos
'Due to rather dubious plate tectonics Japan starts to slip under the sea. Initial predictions say itll take about 40 years before the country is submerged but a rogue scientist adds in some even more dubious science and determines it will actually take less than 1 year! The government think hes a crackpot but evidence soon starts bearing his theory out.<br /><br />This big budget disaster movie follows the formula set by any number of Hollywood films of the late 90s (I assume having seen none of them) with the scale of disaster and tragedy bringing out the nobility of the human (well Japanese) spirit in acts of heroism and sacrifice and proving the power of love or something like that. i.e. its as naive in its psychology as its geology... we all know that half the populace would be out raping and looting the minute they thought the police had their back turned and the other half would just panic and be useless.<br /><br />The film does have some very nice special effects but is not as slick or expensive looking as an equivalent Hollywood production would be. It is at least as nationalistic humourless and lacking in self-awareness as that Hollywood film would be though and probably has even worse acting. It does have the hot evil chick from Battle Royale as one of the leads... but shes not even slightly evil and is therefore much less hot.<br /><br />The film is much too long at 132 minutes and gets worse and worse as it progresses towards a conclusion that had me in danger of puking. I certainly didnt care in the slightest whether Japan sank or not by the half way point and well before the end I was trying to think of ways to expedite the process should I ever find myself in that situation for real.<br /><br />But it does have nice special effects and Kou Shibasaki is still pretty hot so I magnanimously give it... 3/10.',neg
'Found this film in a DVD discount rack for $10. It wasnt worth it. Some of the camera work and dialog look and sound as if it were done by a film student. Sandras performance was somewhat credible but the film was predictable and the action was spotty and dragged.<br /><br />One thing that I will give them however. Unlike most action films people in this film actually ran out of ammo and scavanged dead bodies for new weapons and ammunition.',neg
'A group of obnoxious teens go to a former funeral parlor for a Halloween party. They get trapped inside and become possessed by demons that they have accidentally awakened. The possessed teens start killing the others off and seem to be led by Angela (Mimi Kinkade) who floats and talks in a really deep voice. The remaining teens that havent been possessed yet are forced to fight off the demons and try to escape the house.<br /><br />This is a pretty decent horror film with great special effects which include Linnea Quigley (who has a couple nude scenes as usual) gouging out a guys eyeballs and pushing a tube of lipstick into her nipple. Theres also a scene where a couple has sex in a coffin and a guy getting his tongue bitten out. This is a great film to watch with a bunch of friends late at night while eating some pizza. The terrible acting and atrocious dialog almost ruins it though. Overall I would give it a 7 out of 10.',pos
'Walter Matthau and George Burns just work so well together. The acidity of Willy with the perplexed amnesic Al is a mixture made in heaven. The scene when they meet again in Willys flat is a gem and the final scene rounds up the film to perfection. Walter Matthau gives a superb performance as the irascible semi-retired comedian as only he can the intonation in the voice and the exaggerated dramatics coupled with his general misunderstanding of what is going on form a great characterization. George Burns timing is legendary and nowhere was it better than in this film his calm aplomb with desert dry replies are memorable. Watch for the scene near the end when Al and his daughter ask something of the Spanish caretaker and Als reaction - priceless.',pos
'one day someone said lets redo the mod squad we can make it hip cool and all that YO!itll make a mint then they actually made it and as you are watching it you can hear your spleen cringe in agony as it twists and binds into a knot from the pure horror of it all any movie ever made has something on this id rather meet wayne newton and sing karaoke with him in a gay bar in idaho and drink a virgin bloody mary than ever watch this again may god have mercy on my soul',neg
'I didnt know if i would laugh or cry seeing this. Only addicted fans of danni filth could have a taste for this. This is supposed to be a horror movie but theres only filth in this. The most cool scene is the car accident with real special effects from the best of hollywood. Avoid this movie at all costs. See this only for studies of how bad can be a movie................',neg
'I just saw this on a local independent station in the New York City area. The cast showed promise but when I saw the director George Cosmotos I became suspicious. And sure enough it was every bit as bad every bit as pointless and stupid as every George Cosmotos movie I ever saw. Hes like a stupid mans Michael Bey--with all the awfulness that accolade promises.<br /><br />Theres no point to the conspiracy no burning issues that urge the conspirators on. We are left to ourselves to connect the dots from one bit of graffiti on various walls in the film to the next. Thus the current budget crisis the war in Iraq Islamic extremism the fate of social security 47 million Americans without health care stagnating wages and the death of the middle class are all subsumed by the sheer terror of graffiti.<br /><br />A truly stunningly idiotic film.',neg
'If youre in the mood for a really bad porno with no good porn combined with a really bad horror movie this movie is perfect for you. However if you breathe air make sure you spend your time watching anything but this. The acting is crappy. The plot is crappy. They try too hard and the whole time I was waiting for the one good redeeming scene that might make the movie worth watching. Nope. Stick with the scrambled cable.',neg
'Michael Caton-Joness Scottish period piece bears little connection to the Sir Walter Scott novel of the same name...<br /><br />The film opens in the Scottish highlands with Robert Roy McGregor and his men hunting down a bunch of cow thieves who have stolen several heads of His Lordship James Grahams cattle... The scene then switches to a sword-fighting contest attended by noblemen with longhair wigs adorned shirts soft colored coats paleface make-up and conventional gestures...<br /><br />MacGregor lives under the protection of a local lord named Marquis of Montrose... When he enters an ill-advised trade agreement with Montrose he innocently leaves himself exposed to the malicious plots of Montroses evil-doers... The unfolding of their perfidy is the most creative and pleasant part of the movie though it takes a repugnant turn with a violent rape... When Rob Roy is finally compelled to rebel against the English soldiers the action becomes well understood ending with the predictable duel between him and an expert with the blade...<br /><br />Liam Neeson injects heroism and passion to his character... He is intelligent fair and virile... He carries his height with grace as the Scottish chieftain of a small community... He is a loving father a passionate lover and a noble husband driven to desperate acts by dastardly villains... Hed rather die than tell a lie or betray a trust... <br /><br />Oscar winner Jessica Lange gives the film class as the strong robust devoted wife a proud peasant woman brutally raped by an icy psychotic aristocrat... Langes lines are filled with dignity and integrity: I will think on you dead until my husband makes you so. And then I will think on you no more.<br /><br />John Hurt brings his usual clever touch with character roles to make Montrose something more than a greedy Marquis ruthless with money and tempered by the English courts fashion for foppery... He is a pompous arrogant man with two villainous servants at his service... Honor in his view seems a quaint notion... He has two objectives: ruin the reputation of his rival the Duke of Argyle and to hunt down the fugitive MacGregor... He sends his soldiers to burn the Highlanders homes to kill their people and their livestock...<br /><br />Tim Roththe perfect antithesis to the hero is fearsome and strangely an effeminate enforcer... He is a penniless British aristocrat a nasty hired sword wonderfully evil ravishing and murdering his way through the Scottish mist... His name is Archibald Cunningham... He turns out to be a liar a thief and a murderer... He dismisses himself as but a bastard abroad seeking his fortune and the favors of great men and therefore cant care about anyone else: Love is a dung hill and I am but a cock that climbs upon it to crow. He even jokes that he once raped a young boy whom he mistook for a girl...<br /><br />Cunningham seems pathetic... He smiles foolishly and utters words with affected refinement but not terribly harmful-until a muscular swordsman insults him and we discover that hes a cool head and an expert with a sword... He really does steal the film with a performance that earned him a Best Supporting Actor nomination...<br /><br />And while Brian Cox is suitably odious as Killearn Andrew Keir is Montroses rival the powerful local aristocrat the Duke of Argyll one of the few trustworthy men McGregor meets outside his own family... <br /><br />Set in 18th-century Scotland and with an atmospheric musical score Rob Roy is really a love story between a man and his wife a recognizably human story unjustly dwarfed by Mel Gibsons Braveheart that does tell essentially the same story of provincial resentment of overbearing English landlords...',pos
'Just got back from the European Premiere of The Gamers: Dorkness Rising.<br /><br />All I can say is that if you are a gamer (CRPG RPG or LARP) then this movie is for you. And if youre not a gamer? Well its still a great deal of fun.<br /><br />The acting is certainly not Oscar-worthy but in the whole element of the movie it adds to the charm. The humour is everywhere along with some very nice touches (the tribute to Gary Gygax is especially well done if you can spot it). The cast are very down to earth in their appearance befitting the fact that they are ordinary people enjoying an ordinary hobby.<br /><br />The quality of the movies sound and vision are adequate but again it all just adds to the atmosphere that helps to define this movie as being the Dungeons and Dragons movie written and performed by gamers for gamers.<br /><br />Not afraid to use terminology specific to one system they still manage to allow product placement to be a part of the movie but in a very understandable and utterly fair manner. It also touches on some of the perceived prejudices that some gamers can have about other gamers and deals with that quite well.<br /><br />All in all the movie is very much driven by an well-thought-out equal balance of character plot and entertainment (the Bard is amazingly good value-for-money).<br /><br />In the end it does make scoring this movie quite hard so I have given it 2 scores.<br /><br />Score (for non-RPers): 7/10 (A few moments could go way over your head but the main sections of the movie just work so hard and achieve so much more.)<br /><br />Score (for RPers): 10/10 (Everything fits together in the perfect quantities and with the perfect charm and sentiment)',pos
'Whatever happened to Keaton is what I want to know.<br /><br />Actually I dont I crawled away heaving thinking she must owe half the bookies in Vegas or maybe not maybe she was just brainwashed blackmailed and bored to death. Rich enough to adopt a third-world country she somehow had to star in yet another cookie-cut cliché-ridden droolathon based on the same character-franchise shes been rehashing since Father of the Bride(91). Youd think shes going head to head with Mr.Bean.<br /><br />(Spoilers) <br /><br />So hubby (Dax) gets fired by obnoxious son of boss his mom (Keaton)leaves his dad after classic row and crashes over with her own dog-show in tow oh those little rascals. Hubbys got cold-feet for diaper-duty wifeys clock a-ticking and hey lets toss in a space-cadet as second house-guest for good measure all in one day because thats so funny and original. Wife gets fed up and walks away mom leaves dad for space-cadet and the couple makes up in time for closing credits 86 very long minutes later.<br /><br />Now if you have to have a space-cadet he cant be devious as well he cant scheme some excuse for his stayover and if mom leaves dad she cant hop into a cab dressed as a pumpkin just because some scriptwriter agonized over how to cheer thing up. <br /><br />Plus that gag whereby they invite her in only to then discover shes got her canine entourage in the cab has got to be outlawed by now. And you only get one obnoxious 2-dimensional boss to denigrate. Another movie-killer would be the movie-script the space cadet is toiling away at supposedly more lame than the actual one again dejas-ad-nausea.<br /><br />Liv Tyler doesnt seem happy here her voice was weird at times it had me wondering if they later had her redub some of it and shes a smart one shes handled great roles and well forgive her for Jersey Girl it was disaster-prone could happen to anyone. Dax Shepard was watchable and thats being generous considering the material.<br /><br />Personally its the director the screenwriters and especially the producers that I would love to see tarnfeathered before shipped to Guantanamo as playthings for the prisoners and thats me keeping this lite.',neg
'You ever sit through a movie and after its all over its like one big wtf!?. <br /><br />Welcome to Decoy. <br /><br />Another straight to video action fodder flick you can immediately forget about having watched or better yet dont watch it at all. Peter Weller and Robert Patrick star and are quickly wasted in this going nowheres fast mercenaries-for-hire action dud where the story is pretty darn bad and the action sucks and whats the point of watching an action flick if the action blows? Robert Patrick in particular hits a new low in an action sequence that has him firing a machine gun while standing on the hood of a moving school bus. Co-stars the ambient Charlotte Lewis and Canadas own Scott Hylands (of TVs Night Heat fame).',neg
'So its a little dated now its almost 30 yrs old. Amazingly enough I have this on BETA tape and it still plays just fine. If it came to DVD Id snap it up in a heartbeat.<br /><br />The drug humor is not appreciated nowadays as it was back then. Then it wasnt as harmful. Much like driving without airbags seat belts and child seats. I can remember my father crying he was laughing so hard watching this. I had coworkers in the 90s whod seen it and I could bust them up by getting on the intercom and saying Iiiiiiiivvvvyyyyyyyyyyyyyyyy.<br /><br />Great lines great spoof of the original and funny to me anyway even three decades later!',pos
