@relation imdb-sentiment-2011-weka.filters.unsupervised.instance.Resample-S1-Z50.0-weka.filters.unsupervised.instance.Resample-S1-Z10.0-no-replacement-V-weka.filters.unsupervised.instance.Resample-S1-Z10.0-no-replacement-V

@attribute Text String
@attribute reviewLaenge NUMERIC
@attribute satzZeichenAnzahl NUMERIC
@attribute informationsDichte NUMERIC
@attribute class-att {pos,neg}

@data
'notlaughable positively notredeeming authentic enough bad appalling horrible ',673,8,0.11441307578008915,neg
'badly burned patient desert unpleasant hardy patient falls fall love desert overlook illogical patient appreciate patient intelligent sweeping lean love striking romantic ambiguous pretty willing critics fast betrays intelligence death torture killing reprehensible love love loyalty hates love clear mysterious exciting boring shaky believable interesting mystery wont complain like nothelpful desert haunting desert beautiful haunting mysterious complex exciting carefree effective best exciting nice work memorable good ill-fated smallish patient notperfect attacks notcomplex fault brilliantly patient wonderful ',5075,31,0.12137931034482759,pos
'catchy well hard cool fails wont ranting raving tolerable worth wonder ',838,24,0.08472553699284009,neg
'sad easy notlike great notfriendly decrepit trick easy enjoyed nice pretty well notcleverly ',1134,17,0.08112874779541446,pos
'sadly god-awful funny problem silent good like great well well like limitation like static right like right laughable unbelievable cheating lousy tiresome like notissue racism didnt 1/10 good blackmail best ',2805,31,0.07379679144385026,neg
'decent addict addicts good concerned notconvincing loving concerned beautiful bad addict notmodern classic fair ruin ',1101,9,0.10626702997275204,neg
'like like good bad funny great 9 bad notbad enough fun sexy plot contaminated wicked ',856,8,0.09929906542056074,neg
'striking well stark well ',351,3,0.07122507122507123,pos
'well great dont stupid notlike dont like flawed notbad notgood notgood bad worst dont pretend not** ********** ***** ',961,9,0.12174817898022892,neg
'humor talent notgreat winning stole classic appreciated smile ',612,10,0.10130718954248366,pos
'perfect stunned incomparable excellence glad love enchanted lovely ruined ',738,10,0.1002710027100271,pos
'dumb racist bitch murderous rue horrible dark bad excuse dreadful bad worse bad atrocious fat terrible rue blame worst dumb evil annoying skill stupid notdumb fun bad punk dumb decent ripped terrible notworth ',1371,15,0.15244347191830782,neg
'classic memorable futuristic popular killed like favorite kill unlucky win correctly killed well falsely murder classic famous right taunts dont spoil funny notgreat parody pain humiliation scary notfun recommend 9 ',1658,17,0.12967430639324487,pos
'horrible notgreat pretty notdont stupid ',533,11,0.075046904315197,neg
'monster right pretty entertaining good monster overdo hero good love strong problem like stupid nothorrified stupidest monster good well pathetic attack worth stupidest monster ',1623,24,0.10905730129390019,neg
'holy sh*t didnt didnt dont classic good interesting brilliant ruined humor funny dont dont ',777,9,0.11711711711711711,neg
'bother stupid top lethal killing bad enough falls 2 grisly ',600,9,0.09833333333333333,neg
'lacking death winner damaged nothell enjoying masterpiece ',661,12,0.08774583963691376,pos
'best-selling ruthless love inability work notgood silly trashy like notinability revolting brutally dont pretty horrendous wonder fair bad terrible astoundingly bad unbearable great good catchy bad silly ',1794,26,0.11371237458193979,neg
'breaks prison ludicrously notannoying notlunatic frightening dangerous notannoying unconvincing important optimistic mundane appallingly fairly well works ',1352,13,0.11464497041420119,neg
'promising brutal death pretty cool good notenough good frenzied interesting worked well notboring die-hard notenough ',663,7,0.17647058823529413,neg
'notdeath nightmare bad nasty scary positive like hard mysterious scary shock good twist parody didnt work dangerous patient like positive not* ***** ',1943,30,0.07668553782810088,neg
'pretty miss miss good pretty ridiculous horrible well hot tender not10 ',947,9,0.07497360084477296,neg
'problem spoiled easy continuity like plot dont excuses notdont high-quality dont dust ',1391,20,0.06182602444284687,pos
'boring slow boring notattractive notpuppets cheesy notgood like puppet master favorite lame notinteresting sinister death like recommend ',662,9,0.20694864048338368,neg
'trapped work helplessness plot notspacious free work excitement strictly effective complement good slow tension blissfully predicament panic complemented madly ',2272,20,0.07042253521126761,pos
'dont weakness notenjoyed good pity 9 cheap great great not',733,19,0.0791268758526603,pos
'patiently boring randomly hero like distracting pointless lame work like good dont recommend ',886,19,0.10496613995485328,neg
'won good reputation 3 well famous popular notfair plot notmurderous unrealistic decent notkeen foreboding perfect like best superior plot notgood strange notgreat bloodshed silly good dont boil better ',2191,20,0.09173893199452304,pos
'didnt decent memorable like entertaining enough notattractive ',1500,26,0.04133333333333333,neg
'love great problems notmagnificent correct good bad preferably worked sad best good not',773,6,0.11254851228978008,neg
'genius wonder insane hated accuse offensive boring disgusting pretentious horrible pointless offensive strangely enough amazing great skill passion master remarkable anarchist mysterious fascinating burning rich famous illegitimate effectively wild hero kill destroy hypocrisy corruption poverty objection hysterical unlikely powerful depressing like pretentious disgusting excellent meaningful disintegrates dont genuine notexploitation difficult madman remarkable ',2954,17,0.15775220040622884,pos
'8 8 disliked favor lone didnt like ',864,8,0.04050925925925926,pos
'prefer limit meager reasonable contention redeeming miss notfrown resentment great ',826,3,0.10048426150121065,neg
'great nice well sincere enthusiasm pretty delighted effective humor liked nice convenience wonderful dont intimate believable good ',788,12,0.16624365482233502,pos
'speedy speedy ugly gold famous handsome speedy bad notclassic pretty speedy cocky popular abysmal speedy better atrocities oddly speedy steal problem speedy adversary detestable blatant poor speedy pretty speedy won ',1745,13,0.12378223495702005,neg
'clear like like notdont burning notnice love bait enough incredible troubled nimble notdeath 3 ',2238,24,0.04244861483467382,pos
'unthinkable kill revenge cool spiritual pretty impressed confused notpretty idiotic not',751,14,0.11584553928095873,neg
'notgood critics better annoying awful terrible upsetting like notlike like notlike interesting bad overrated notnotrecommended ',885,1,0.14350282485875707,neg
'great cheesy monster bad wonderfully moronic 2 love bloody didnt plot blow fast love love ',617,11,0.1458670988654781,pos
'good weary fear notgood fun lying love falls sticky right ',859,9,0.06752037252619325,pos
'angry bad comfortable ',265,6,0.0830188679245283,pos
'decent liked work better ridiculously uneasy disturbing dont like awesome good ',743,5,0.1063257065948856,pos
'ridiculous terrible worst ridiculous wonderful not',536,10,0.09328358208955224,neg
'wont irritate homage liked didnt like easier good strong bloody notfaint phenomenal crazy enough engaging great didnt enough like best ... ... ',1101,21,0.1298819255222525,pos
'best win notbrave notlike hard amazing fun ',728,24,0.059065934065934064,pos
'pretty enjoy plot plot ',631,6,0.03645007923930269,neg
'well stooges fanatics wonderful well stooges stooges fortunately stooges nasty successful losing great hardy variety odd oddly didnt supporting lost falls like variety leads successful slug loud helping ruin fall stooges didnt right pretty good stooges fans frustrated die-hard fans rotten bad dull interesting unusual clean clearly clean titillating stimulate notenough shocking pretty ',3679,34,0.10519162815982604,neg
'pretty good notfond plot great notfree murder grand top win free 8 ',529,5,0.1266540642722117,pos
'snappy stylish greatest convincing twist struggles lead blind tediously slowly great superficially dynamic stuck satisfying plot enjoyable gangster waste notgreat logical virtue lost ',1353,13,0.1352549889135255,neg
'notwaste right lively important notbetter ',767,35,0.054758800521512385,neg
'dont rich like well colorful dynamic well wonderful right enjoyed ',710,10,0.09295774647887324,pos
'kill free courage notgood humor frozen better good bad good pretend dont ',662,8,0.11027190332326284,neg
'great genius puppet unsuccessful led unexpected breakthrough led amazingly classic revenge dark strain dark appreciate satirical pretty upsetting sharp sting unhappy improve beseech impressively easy puppets like improvement irritated welcome promptly merry rampage beseech loses temper hapless well enough startling easy notturmoil cautionary overwhelmed fascinating charming macabre ',3515,26,0.10953058321479374,pos
'pretty zombie revenge backwoods problem lack like zombie like 9 fear right creepy run-down unbelievable dont waste ',1079,15,0.10658016682113068,neg
'bad well crime well well not',329,3,0.0851063829787234,pos
'misses revolt break revolt bad notdelusion purify arrogantly hell notprison like better whips ambitious silly cruel notregretted hangs free work benefit drunk like didnt fictional dont ',2622,23,0.07055682684973302,neg
'notoffensive lead silent better like worst notlike unity good lack evil talent painful perilous dark fever bright falls love fortune rich attractive peril freeze enough silly charming silly silent unfortunately depressingly ',2479,21,0.09035901573215006,neg
'fail enough didnt dominate impressed worth struggle ',754,7,0.06896551724137931,neg
'maniac ugly blatant incorrect stolen classic bad lapses repetitive nasty 10 ',837,10,0.0908004778972521,neg
'critical well better nicely plot notsuccessful didnt didnt sorely scrap ',1041,21,0.069164265129683,neg
'lovely lethal statuesque beauty magic evil demonic master fearless pitifully unfunny relief seasoned exploitation supremely inane brisk foolishness struggle silly adorable sexy alluring jolly amusingly humor cheap tension tacky enhance delicious brainless lovably lousy ',1352,10,0.1997041420118343,pos
'breaking slow crap like like wounds ',284,3,0.1267605633802817,neg
'unconvincing endearing likable good modest success leading passionate obsession advantage vibrant handsome top misguided devious dignity optimistic struggles confess traumatic led fear enjoyable passionate good entrancing courage adversity strike hollow accomplish inspirational enthusiastic works well stranger revere important famous notliked notcorrectly decency gain grand world-famous win tumbled stupid exceedingly effectively nervous tension confusion anxiously accurate stunt difficult clearly positive inspire ',3292,17,0.15765492102065615,pos
'death better plot vague evil unsuspecting stumble sinister sack fall strange notbad lousy enjoy laughable pretty surreal demonic like bizarre death ',1163,15,0.12725709372312985,pos
'better dont prejudice prejudge benefit doubt tough love stronger dont willing ',821,17,0.09500609013398295,pos
'cute hilarious works ',449,5,0.0467706013363029,pos
'complain louder better ',529,13,0.043478260869565216,pos
'perfect like creepy damn dirty naughty cold evil enraged great ',703,35,0.08961593172119488,pos
'nothumor plot nonexistent promptly notrecommend worst dont notwilling notlack famous notjoke worst worst ',974,9,0.10780287474332649,neg
'amazing humor perfectly odd overdone shrew recommend entertaining ',744,5,0.08870967741935484,pos
'classic goofy goofy retarded like strange plot suspicious stupid love stupid harmless ready cold like retard confrontation killed exciting won miracle confront ',2333,30,0.06858122588941278,neg
'enjoyed excellent believable great enough best thank great ',656,10,0.0899390243902439,pos
'crisis honest issues love useful good believable notrecommend quiet ',885,7,0.0768361581920904,pos
'pretty notgood better 2 marginally better ',375,4,0.112,neg
'creative good crazy enemies frustrating hard accomplished complaint works fairly well pain notrecommend good ',774,10,0.14082687338501293,pos
'wonder hurt plight ',341,6,0.05571847507331378,pos
'straightforward plot snarky alarming falls love blind top mobster honor effortlessly charismatic supporting ',823,11,0.13122721749696234,neg
'accurate luck unknown modern shame remarkable good notbetter apocalypse quiet fateful well critical great nightmare worse incredible suffering survival notharsh glory regard haunt naive sorry notdemonic important gruesome deteriorate freeze like horrible nightmare amazing carnage loose horrible death slaughtered good hell bad doomed amazing breakdown limits limits deadly scarred hell hell ',3685,28,0.10637720488466756,pos
'atrocious wonderful crude inappropriate humor scary sickening inappropriate dont waste good ',413,3,0.22276029055690072,neg
'angry apathy loud notcomfort ease indifference dictator horrible good impose contradictory hypocritical ashamed sorrow dont denounce runaway deny unwilling stuck unjustly notdont fallacy simpler worthy ',1879,18,0.10750399148483236,pos
'famous work strain tension guilt like like masterpiece recommend recommend wont ',1084,8,0.07380073800738007,pos
'offensive doubt dont feeble not',605,6,0.0512396694214876,neg
'enjoyed led suspect benefits cheerful enthusiastic lucky enough good catchy plot dont creaking strain heroine right scarcely pretty well impudence hilarious plot understandable confusion worked deft blissful bemused worth convincing wisely supporting set-up humour worthy silent uneven classic sparkling best funny spontaneous failed didnt masterpiece entertaining work ',3226,21,0.11469311841289523,pos
'hard work best like enough notperfect repetitive kill problem ',758,14,0.08179419525065963,pos
'lone lack good evil beautiful grand evil lawless outrageous plot steal dusty killing good lucky mighty illogical clearly well desert fleeing fantastic fiction heroine hero leads like poor slow drag unusual weaker lone ',2897,19,0.07525025888850535,neg
'lame boring popular unfortunate cool ',572,6,0.06468531468531469,neg
'pretty like like good worse failed ',746,13,0.04691689008042895,neg
'best crooks great heroic notreliable work enjoy ',444,5,0.10810810810810811,pos
'notbothered sleazy bothered cynical crap bothered worse garbage like great cheating free desperate pitiful unconvincing dont fake boundless pathetic unemployed miserably eagerly crap cheater loser dont fair notstruggling notcheap transparent illusion intelligent ',2324,23,0.11316695352839931,neg
'abysmal legendary triumphantly like die poor impressive prowess mindless daring poorly addicts poor hedge killed odd classic rape priceless trust exuberance fervor crazy 2/10 ',1187,9,0.14743049705139005,neg
'wonderful creative success lovely leading nice like afraid wonderful striking best fatuous rich mendacious enough available classic stupid complex heaven good smart ',1450,11,0.11379310344827587,pos
'bad kill 10 good horrible like cheat interesting pretty interesting ',717,11,0.09483960948396095,neg
'limited satisfying strange good well excuses diabolical dont waste didnt revolutionary important infamous notinsults imposing unreasonable dullard proper disruptive confused incongruous pointlessly like poor exceedingly limited hobble illiterate good repetitive misery lack variety struggles humour ignorant violently lack excruciating fearfully unexpected corrupt promising exasperate keenly frustration truthful wont free popular entice notnotgross issues precisely notilliterate gleefully fails lead weak sorely diabolically uneven downhill excruciating slow misery humour confusing irritating break ',6331,67,0.09524561680619176,neg
'like hilarious beautifully poignant like great nifty ',487,9,0.10882956878850103,pos
'greed solid work leads pretty good notnotfun ',764,9,0.058900523560209424,pos
'dont like dont clearly slow plot break like dying fascinating killing pointless perfect breaking evil coldly ruthless die kill kills notnotbored realistic good ',2082,27,0.07684918347742556,neg
'worst disappointed bad awfulness fun bad wary naughty like 10 plot violent notincomprehensible love pretty violent weird recommend sad notbad enough sexy enough boring crazy like naughty ',1644,17,0.11374695863746959,neg
'like good great good unfortunately like chill like superficiality notannoying ',667,7,0.11694152923538231,neg
'maniac torture hack murder successful didnt confrontation sufficient worked better loose shame notbetter funky madness satisfying fresh wound ',1612,14,0.0880893300248139,neg
'tortures hang like loud noise boiling crush realistic didnt fake disgusted liked scared ',669,14,0.13153961136023917,pos
'worst good wonderful 1 ',275,4,0.08363636363636363,neg
'love best great great love great good evil good notdespicable curse love notnotdont prefer ',959,11,0.0948905109489051,pos
'wonderful freedom confusion betrayals upbeat accomplished turbulent joy not',844,21,0.08886255924170616,pos
'mystery mystery desperately super works extraordinary furious works junk frustration ill-conceived foe threatening angry wonder love glory super champion amazing enough stellar fans magic win menace perfection lunatic genius warp champion mystery evil painful talent vengeful dead invisible invisible powerful angry inane neat losing ridiculous pretty good notshort-lived inferior work fairly innovative disbelief inevitable idiots pretty well great genuine dark inevitable ridiculous marvelous memorable mystery good good perfect great bored furious love spite confused mad worth lackeys choppy integrated appreciate fun good kill ',5721,61,0.11047019751791645,pos
'angry blatantly groundbreaking shame notwarning dont crime tragic killing friendly demise spew garbage ready beautiful impending plight warning trouble dont ashamed cheated ',1532,11,0.1129242819843342,neg
'prison plot prison amazing plot outstanding like plot well conspiracy notintelligent smart interesting love intelligent well good ',937,8,0.13874066168623267,pos
'dumb like like illogical desperately well idiotic dont steal stealing killed kill kill dark dark fashionable kill poor unsuspecting mystery conspiracy killer precisely paranoid notpure brilliant kill cruelly shamelessly killer great silly notmoronic suspiciously illogical flair ',2974,42,0.09381304640215199,neg
'beautifully lacking excitement leading decent dogged well best lead benefit ',664,7,0.1144578313253012,neg
'hero silent capable blind worth ugly like burned abrupt appeal conspiracy ',952,13,0.07773109243697479,neg
'fine 8 charming excuse notlike moronic trash shame ',686,11,0.07434402332361516,pos
'great crappy crappy gangster bad bugs creative support like notdeath notcomplain like notgood freak awful likes beautiful falls like loves crime like good hot lame dont terrible work stuck ridiculous bad laughable worst cheapest imaginary happy notwaste ',2615,42,0.097131931166348,neg
'good best notclassic gangster best best achievement brainless ',280,4,0.22142857142857142,pos
'tingle instantly salacious gentle reviled beautiful hoard wicked poor endearing complicated accidental killing abusive happily issue bad unconvincing ',1559,12,0.09621552277100706,neg
'fine realistic fumble unknown difficult notnice ',779,4,0.06161745827984596,pos
'good superior classic problem talented fame excellent unfortunately fails fail notimprovement inferior lack well ',1456,12,0.07760989010989011,neg
'brilliant insightful brilliant work breathtaking astounding good notnotlove best 10/10 ',881,10,0.09875141884222474,pos
'great like didnt like horrid work inane stuck leads worse like rejects distract enough lose correct not',818,12,0.12591687041564792,neg
'patient nottragic great spellbindingly amazing rapturous love best best ',402,3,0.1791044776119403,pos
'disgusted cheated strong sloppy best eager unknown notpleasure aggressor missed clear exciting right worth ignore repetitive best thirst fun repetitive boring leads issue great failed failed best notlacking well plot stronger worked like strong dont stronger stylized stronger poor like didnt like like sub-par stronger liked enjoy repetitive breaking uneventful memorable failed notworth ** ***** ',5471,40,0.07274721257539755,neg
'like ease interesting famous impressive noteasy leaky scornful clean gleefully horrendously afraid indifference astounding indifference right sour gleeful smile interesting poor loose whining fear notlack helpless convenient works cute enough enjoyable enough enough fun dont plot pardon nothard famous ',3258,18,0.09300184162062615,pos
'talent parody talent like shadowy hype hottest excited didnt qualify idol cheesy like popular like stupid like bizarre ',1687,22,0.07053941908713693,pos
'modest overwhelming succeeds perfectly incredible mess light-hearted blithe oblivious interesting plot notdont hot ',788,7,0.14593908629441624,pos
'bad pathetic badly better humor colorful good notwaste crap dont critic lame notdanger stupidity ',787,11,0.12325285895806862,neg
'best best great realistic success notgood 10/10 9/10 fave death ',789,8,0.08111533586818757,pos
'great stumbled plot compassion notrefreshing great twists supporting fair grace ',635,8,0.12598425196850394,pos
'loved plot bad loved liked realistic dark bad ',508,9,0.09055118110236221,pos
'mystery incomplete beautiful best jealous miraculous dark dark nottwisted celebration success great shocking mystery notfamous notstrange mystery manipulation conspiracy hell leading strong taunting worked screwed murder poor rape loss ',3232,29,0.07301980198019802,pos
'idiotic stupid disgusting enjoy vomiting bloody notfair ',371,5,0.1509433962264151,neg
'spectacular like fun entertaining enjoyment nottwists enjoyment 2 fun work well weak enjoyable not2 notwin blockbuster fun fun ',869,10,0.14614499424626007,pos
'notwaste didnt worst unwatchable poor talent notpathetic didnt notgood ',617,15,0.11507293354943274,neg
'sweet enchant sweet attractive impressive liked better overrated romantic notnice 7/10 ',685,9,0.12700729927007298,pos
'wrong notbest entertaining glad enough good break like perfect notpeaceful tense good ',685,9,0.12554744525547445,pos
'notplot mistake haphazard good comical threat pretty fun ',767,10,0.07431551499348109,pos
'dont wrong fun nice odd bugs nice standout bugs nice fun nice notexceptional like nice didnt odd nice missed nice 7/10 ',819,10,0.1452991452991453,pos
'dont confrontation antagonist notworst plot grossly bad caricature drunk pretty ',640,11,0.125,neg
'disconcerting nice boost enjoyed vibrant funny angry vulnerable feisty died killed steadfast trump hates flirty ',1019,11,0.1099116781157998,pos
'well excellent pain anguish beautiful anti-social pain notglad great love good ',834,9,0.09472422062350119,pos
'good like like like willing funny tops favorite best supporting like charming ludicrous enjoyable great ',1621,14,0.06415792720542875,pos
'succeeds notwilling dont horrible pity better lose pity like enough horrible likes top terrible enjoy best notinsult intelligent nottalented honest comforting revel shortcomings ',1737,13,0.102475532527346,neg
'amazing worthy important unknown gem bargain worthless right dirty modern classic bargain ripped masterpiece ',538,4,0.20260223048327136,pos
'pity fails like boring interesting fair denies betrayal resentment outburst like freedom struggle promises strained cracks burden burden notenough notenough notenough tenuous struggle like leading stormy problem notbad confused popular disappointment struggles ambitious leading positive balanced hard notclear difficult alienated wonderful noteasy despondency succeeds pitiable dead best contribution gifted conflict unable helplessness notfault fault suffers inevitable flaw sincere ',5465,40,0.08874656907593778,pos
'death nasty right worst notbetter wont hate ',633,7,0.06951026856240126,neg
'like unnoticed terrific funny disturbing notunfortunately not',537,8,0.11359404096834265,pos
'bored notguarantee strange failed miserably hard coherent plot mess top dont gorgeous bored pretty ',938,10,0.10554371002132196,neg
'hallmark decent enough happiness love love love prefers hard great prefers love best like love fond enough protective notthrilling bad broken-hearted breaks like nice polite strong good charitable long-lasting healthy right wrong dont love sour slowly bad disappointed worse fast decent gem ruining dont recommend ',4151,44,0.07564442303059504,neg
'nonsense cherished smart smart wonderful smile enjoy thank ',417,7,0.14148681055155876,pos
'popular enthusiasm hot pretty ruthless shark stooges threaten assault bullying gangster stooges menacing wont warning brute leads revenge enough novelty polished colorful wimpy shark scary misfortune angry plot worth modest success accomplished ',2227,26,0.11001347103726987,pos
'engrossing enjoyable leads significant problem notthorny notlove notarrogant leads bitchy endearing notplot accomplishment stunning love amazing notskill well hard work romantic work credible notcharming notlose worth leading charming sweet adorable sexy lovely well work lovely clear satisfying romantic humor well modern hesitant excellent notimpressive lively excellent selfish attraction love enjoy admiring lovely leading notadmire sexy loving ',4446,34,0.10098965362123256,pos
'unfunny horrible incomprehensible fans good bad enjoyable 9 monster crime like bad poorly incredible stale notworse worst excite truthfully poorly doubt excited unreal unbelievable like sneak wont best horrible notgreat notclever desperately wonder notgreat crap amazing talented love ',2567,25,0.11102454226723803,neg
'like repetitive weak best bad bad right bad survivor deadly cave cheaply collapse top hell desperate better ',905,12,0.11933701657458563,neg
'ridiculous dreadful poignant good dont wrong notstrangely wisdom notdisastrous enjoyable wasted baffling hell good worst ',1485,9,0.08148148148148149,neg
'nothardy classic enjoyed comical stupidly classic hardy fails miserably fails miserably classic well worst hardy bad ',743,7,0.15746971736204576,neg
'loves love loves jealous loves loves beautiful love tragic jealous love murder loves unpleasant lying mystery precise authentic longing dont work criticism exhausted finest bad love lead love ',1524,10,0.12598425196850394,pos
'notrigid tough clear fine spectacular ',744,8,0.051075268817204304,neg
'best like works notdont miss genius ',208,4,0.17307692307692307,pos
'notworth notlove notentertaining notwitty notfunny dull 3 meaningless boring like fallen love love ',628,7,0.15764331210191082,neg
'10 intelligence loud didnt bad ridiculous cruel ',604,12,0.07947019867549669,neg
'dont like die-hard fans right cheerful critic bad fans like fans worst ',919,10,0.07725788900979326,neg
'knock great favor wreaks worst desert blatant knock nice ',821,14,0.06942752740560293,neg
'lack talent talent fake like worse bad ',654,13,0.05963302752293578,neg
'amazing charming notbad sweet fall love breaks fall love fall cute fall notbroken tragedy die cry notloving 9 didnt die amazing ',906,12,0.141280353200883,pos
'mistress works destiny good dangerous 7 6 9 notterribly tops pretty appealing fatal threesome not6 7 9 dont led terribly pretty poorly poorly lost great novelty good attractive best available hell ',2469,26,0.0797893884163629,neg
'bad fun joke notlike ',290,4,0.07241379310344828,neg
'lethal better tortures unwilling slave dangerous scary dungeon helplessly notenemy fearsome like abuse handicapped all-around wonder better better trouble shipwreck like glorious garish richly horrifying dungeon harrow terror funny love wrong ',2233,21,0.10882221227048813,neg
'legendary arrogant wicked sardonic dies steal rude fresh pretty stylish neat sturdy pleasingly spooky kill grisly right poor crushed gruesome kudos stellar flashy amusing bitter flaky nice jerky saint sweet geeky cool polished attractive moody fun fright ',1712,12,0.14894859813084113,pos
'worried wont safe crash suffer danger fantastic worse skeletons cave worse dumb sloppy unknown cave notarbitrary popular died crude loser ',1496,16,0.09224598930481283,neg
'silent great sadness top well restored notsilent dick silent glorious greatest silent superbly 2 silent top genius positive worked fatty fell love leading notprefer fell fortunate instrumental worked best difficult wise selective work award 2 right popular greatest triumph honored great golden subdued ',4360,48,0.0694954128440367,pos
'complex refreshing like sincerely good cool sweet terrific supports reasonable flaw slow patience good clean decent ',1084,14,0.1070110701107011,pos
'recommend won award notnotdifficult dont dont passion precious shame soft notnotdont like great fantastic great best better classic ',1515,16,0.08712871287128712,pos
'keen notdisappointed plot issues available uncomfortable right trust dilemma rich nice fears interesting frustration great didnt ',1248,7,0.10336538461538461,pos
'notfamous magical crazy unfortunately love kill oddly lousy unfortunately wound well dumb pretty pretty silly crazy pretty ',977,8,0.12589559877175024,neg
'stunning grace mindless lead ',421,4,0.0688836104513064,neg
'notgreat youthful notstresses worked notcarelessness dangerous ',877,10,0.07183580387685291,pos
'like powerful unable unusual appreciate best ',654,8,0.06880733944954129,pos
'notlack hazy fondly favorite notfailed support creepy kill confront awkward 10 enjoyed entertaining ',1360,33,0.07352941176470588,neg
'dick cold brilliant horrific excellent murder free dont fine remarkable terrific good marvelous lighter pretty great gold treasure fun refund darker haunting kill brutality impossible sorry hates brutal dont sorry murder cold ',2370,43,0.09535864978902954,pos
'notscant indulge good like fair stab notproblem humility pleasure lies notbad wonder terrible welcome indeterminate stronger problem kills plot ridiculous fear notstrong weakness adequate work wonder hero lies villains bad entertaining cheap knock mourn loss mystery ',4441,39,0.06012159423553254,neg
'6 7 enjoy decent love 10 ',628,13,0.03980891719745223,neg
'amazing good like struggling depression angry cry good notsuffer depression problem dark boring like great ',947,7,0.11298838437170011,pos
'didnt ready shame interesting angry notmodern bump charm goofy love great skeptical pretty good notsuffers disbelief fun ',1210,9,0.1,pos
'promises twists important disturbed helping good useful like lack ',929,8,0.07104413347685684,neg
'dont dont wrong notworth plot banal worthless confused ripped falls like better disturbing ',1125,10,0.08088888888888889,neg
'beautiful masterpiece well interesting like better ',726,8,0.07024793388429752,neg
'beautiful dust like broken hard dont plot hard notstupid work dont hard enough shake notsuffer sickness trick notheartless sob dont didnt luck helped beautiful hell ',1804,31,0.09146341463414634,neg
'love well limitations obscure classic available not',759,11,0.06719367588932806,pos
'falls fantastic brilliance perfection ',364,4,0.1043956043956044,neg
'controversial pathetic gutless shallow better top excessively embarrassing well mature scarce notexcuse good ',857,11,0.12718786464410736,neg
'talent wasted right great worst wasted unbelievably worst talented dont waste ',646,7,0.12074303405572756,neg
'greatest love great great lead well ',401,5,0.08977556109725686,pos
'estranged bliss heedless toll ailing stranger knife patiently rejects dedicated work exhilarating notrejects rejected wound scar implication rejection kills ',1882,10,0.08342189160467588,pos
'poor notwonderful top ... poorly dont suffice missed awful better worthy favor enjoy excruciating ',721,12,0.13592233009708737,neg
'delightful gentle gem degenerate 2 plot flaw worth fine like tense approval notnot',502,7,0.16334661354581673,pos
